ship_type,ship_name,lon,lat,p_lon,p_lat,datetime,distance
Cargo,PITZTAL,30.07908,59.90575,30.09755,59.902,2016-12-15T10:09:03Z,1112.3254791674294
Cargo,ATLANTIC RUNNER,30.22843,59.90658,30.22353,59.90295,2016-12-14T15:07:03Z,487.9553081399159
Tanker,BESIKTAS HALLAND,30.02034,59.91771,30.04284,59.91314,2016-12-15T10:51:04Z,1354.695149703823
Cargo,KEGUMS,30.01302,59.91918,30.02845,59.91596,2016-12-13T21:33:03Z,932.6056174751377
Cargo,LAVAUX,30.06353,59.90895,30.07876,59.90585,2016-12-14T22:29:03Z,917.4453728710205
Tug,SEMYON DEZHNEV,30.10169,59.90117,30.06933,59.90769,2016-12-16T05:57:03Z,1946.7131796828046
Tug,SAT AIS,30.25619,59.94099,30.00296,59.92127,2016-12-15T15:09:03Z,14293.619553968858
Tug,KAPITAN NIKOLAEV,30.20958,59.88928,30.20942,59.88943,2016-12-17T14:25:03Z,18.93834137680527
Pleasure,MIR,30.20873,59.87449,30.20861,59.87433,2016-12-18T21:33:04Z,19.03119587512455
Tug,ERMAK,30.20906,59.88913,30.20915,59.88925,2016-12-15T06:01:04Z,14.272609509357174
Tanker,TAYMEN,30.22851,59.86553,30.22851,59.86553,2016-12-20T11:11:04Z,0
Tug,GRIFON 5,30.00557,59.92064,30.02541,59.91667,2016-12-18T09:49:03Z,1191.9592325233173
Tanker,KOLA,30.22082,59.88493,30.2307,59.88142,2016-12-16T12:57:03Z,676.1801963475452
Tug,VIKHREVOY,30.13853,59.89371,30.09058,59.90341,2016-12-19T12:59:03Z,2886.6315283239937
Tanker,AURA,30.22332,59.88253,30.21381,59.88844,2016-12-16T13:55:03Z,845.5508388557982
Tug,KAPITAN PLAKHIN,30.24339,59.91299,30.2436,59.91276,2016-12-15T03:51:03Z,28.15813832380927
Tug,GRIFON 3,30.18697,59.88117,30.21343,59.88846,2016-12-19T12:59:03Z,1686.0304343830014
Cargo,OMSKIY-134,30.01001,59.91987,30.02091,59.9176,2016-12-13T23:19:04Z,658.5886862905247
Tug,TORNADO,30.23054,59.91456,30.22298,59.90256,2016-12-20T11:11:03Z,1400.8905108412869
Tanker,ANGARA,30.18866,59.88271,30.24101,59.91455,2016-12-15T03:41:03Z,4594.029203108144
Tug,AKMAL,30.1863,59.88607,30.20722,59.89101,2016-12-14T10:29:03Z,1291.2741130107781
Tug,BREST,30.18356,59.88323,30.22672,59.86636,2016-12-20T09:31:04Z,3056.369737683756
Tug,KONSTANTIN,30.25963,59.91463,30.25952,59.9145,2016-12-15T03:45:03Z,15.719572971282433
Tug,GRIFON7,30.2174,59.86989,30.00482,59.92081,2016-12-14T11:47:04Z,13153.58836273927
Tanker,SULA,30.22377,59.86736,30.22246,59.87646,2016-12-14T11:37:03Z,1015.6483839188826
Tanker,VALERIY ZELENKO,30.08987,59.90351,30.06484,59.90856,2016-12-16T05:57:03Z,1505.9777403803416
